time,max_sustained_wind,geometry,dist
2017-09-08 03:00:00,137.0,POINT (-72.54657745361328 21.39370727539062),27068.257365433416
2017-09-08 05:00:00,135.0,POINT (-73 21.5),4346.998006648069
2017-09-08 06:00:00,135.0,POINT (-73.19999694824219 21.5),12846.831063687678
2017-09-08 09:00:00,135.0,POINT (-73.92115783691406 21.6157054901123),61314.7037765238
2017-09-08 12:00:00,135.0,POINT (-74.69999694824219 21.79999923706055),59987.28664419377
2017-09-08 15:00:00,137.0,POINT (-75.37260437011719 21.91464042663574),46131.74058888185
2017-09-08 18:00:00,140.0,POINT (-76 22),33411.214670490495
2017-09-08 21:00:00,142.0,POINT (-76.5867919921875 22.02573204040527),69011.77904133254
2017-09-09 00:00:00,145.0,POINT (-77.19999694824219 22.10000038146973),39324.33688317308
2017-09-09 03:00:00,145.0,POINT (-77.90000152587891 22.29999923706055),2214.817512651698
2017-09-09 06:00:00,130.0,POINT (-78.30000305175781 22.39999961853027),295.437681797097
2017-09-09 09:00:00,120.0,POINT (-78.78639984130859 22.53301429748535),1892.1931981308371
2017-09-09 12:00:00,110.0,POINT (-79.30000305175781 22.70000076293945),7129.1654776784535
2017-09-09 15:00:00,102.0,POINT (-79.77244567871094 22.89992332458496),2117.549145761718
2017-09-09 18:00:00,95.0,POINT (-80.19999694824219 23.10000038146973),1549.0553452304368
2017-09-09 21:00:00,97.0,POINT (-80.58761596679688 23.2574348449707),6451.414848658147
2017-09-10 00:00:00,100.0,POINT (-80.90000152587891 23.39999961853027),14941.075895521402
2017-09-10 03:00:00,107.0,POINT (-81.13767242431641 23.51241111755371),33234.786655166674
2017-09-10 06:00:00,115.0,POINT (-81.30000305175781 23.70000076293945),56137.46355101297
2017-09-10 09:00:00,115.0,POINT (-81.43893432617188 24.0159854888916),65615.44045383726
2017-09-10 12:00:00,115.0,POINT (-81.5 24.5),12980.974789935655
2017-09-10 13:00:00,115.0,POINT (-81.5 24.70000076293945),532.7367567875583
2017-09-10 15:00:00,109.0,POINT (-81.57066345214844 25.06460952758789),37116.17365172001
2017-09-10 18:00:00,100.0,POINT (-81.69999694824219 25.60000038146973),29046.104617370947
2017-09-10 19:30:00,100.0,POINT (-81.69999694824219 25.89999961853027),30.825738269304562
2017-09-10 21:00:00,93.0,POINT (-81.68648529052734 26.1944751739502),11760.336698453515
2017-09-11 00:00:00,80.0,POINT (-81.69999694824219 26.79999923706055),12350.933017131581
2017-09-11 03:00:00,72.0,POINT (-81.90632629394531 27.48279190063477),54376.557384420514
2017-09-11 06:00:00,65.0,POINT (-82.19999694824219 28.20000076293945),37794.61601874851
2017-09-11 09:00:00,57.0,POINT (-82.42822265625 28.90729522705078),20131.409160362757
2017-09-11 12:00:00,50.0,POINT (-82.69999694824219 29.60000038146973),48139.57558418614
2017-09-11 15:00:00,47.0,POINT (-83.06999206542969 30.27996826171875),70624.64886887991
2017-09-11 18:00:00,45.0,POINT (-83.5 30.89999961853027),101374.34819653483
2017-09-11 21:00:00,40.0,POINT (-83.92101287841797 31.42214202880859),146269.4968255111
2017-09-12 00:00:00,35.0,POINT (-84.40000152587891 31.89999961853027),199697.234421301
2017-09-12 03:00:00,30.0,POINT (-84.97026824951172 32.40739822387695),238083.24282578216
2017-09-12 06:00:00,25.0,POINT (-85.59999847412109 32.90000152587891),271667.61533077416
2017-09-12 09:00:00,22.0,POINT (-86.25075531005859 33.34988784790039),312772.979355381
2017-09-12 12:00:00,20.0,POINT (-86.90000152587891 33.79999923706055),354106.20439539436
2017-09-12 15:00:00,17.0,POINT (-87.53736114501953 34.30746841430664),398438.5472361485
2017-09-12 18:00:00,15.0,POINT (-88.09999847412109 34.79999923706055),450433.9090301619
2017-09-12 21:00:00,15.0,POINT (-88.54570007324219 35.22963333129883),500387.13476512104
2017-09-13 00:00:00,15.0,POINT (-88.90000152587891 35.59999847412109),545236.1975946043
2017-09-13 03:00:00,15.0,POINT (-89.21559906005859 35.914794921875),584623.7454218892
2017-09-13 06:00:00,15.0,POINT (-89.5 36.20000076293945),620992.6172814704
2017-09-13 09:00:00,15.0,POINT (-89.79433441162109 36.49522399902344),659211.0883494343
2017-09-13 12:00:00,15.0,POINT (-90.09999847412109 36.79999923706055),700085.5869352949
